Hugo_Symbol,submitter_id,expression
ATRX,TCGA-A6-2685,-0.3742
BCL9,TCGA-A6-2685,-0.4709
BCL9L,TCGA-A6-2685,1.3863
BCORL1,TCGA-A6-2685,-0.9076
BIRC6,TCGA-A6-2685,-0.6731
BRAF,TCGA-A6-2685,-0.348
BRCA2,TCGA-A6-2685,-1.0742
CARD11,TCGA-A6-2685,0.5816
CDH10,TCGA-A6-2685,-0.6174
CDH4,TCGA-A6-2685,-1.3192
CNTNAP2,TCGA-A6-2685,-0.0484
CREBBP,TCGA-A6-2685,0.6411
CSMD3,TCGA-A6-2685,-0.1826
CTNNA2,TCGA-A6-2685,0.77
DCC,TCGA-A6-2685,-0.9879
ERBB4,TCGA-A6-2685,-0.1726
FAM123B,TCGA-A6-2685,-0.5903
FAM47C,TCGA-A6-2685,-1.3237
FAT1,TCGA-A6-2685,-1.1318
FAT3,TCGA-A6-2685,0.4548
FAT4,TCGA-A6-2685,1.363
FBXW7,TCGA-A6-2685,-1.2202
GRIN2A,TCGA-A6-2685,2.4309
KRAS,TCGA-A6-2685,0.6965
LRP1B,TCGA-A6-2685,1.3392
MLL3,TCGA-A6-2685,0.1026
MLL4,TCGA-A6-2685,-0.4598
MUC16,TCGA-A6-2685,-0.8305
MYH11,TCGA-A6-2685,2.3246
NBEA,TCGA-A6-2685,1.4518
PIK3CA,TCGA-A6-2685,0.3545
PREX2,TCGA-A6-2685,1.6357
PTPN13,TCGA-A6-2685,0.2564
PTPRT,TCGA-A6-2685,0.671
RNF213,TCGA-A6-2685,-0.3348
RNF43,TCGA-A6-2685,0.5298
ROBO2,TCGA-A6-2685,0.9453
ROS1,TCGA-A6-2685,-0.7548
SMAD4,TCGA-A6-2685,0.0251
TCF7L2,TCGA-A6-2685,0.491
TNC,TCGA-A6-2685,1.1727
TP53,TCGA-A6-2685,-1.4548
TRRAP,TCGA-A6-2685,-0.8262
ZFHX3,TCGA-A6-2685,1.0684
ACVR2A,TCGA-A6-2686,1.0922
AKAP9,TCGA-A6-2686,-0.3869
ANK1,TCGA-A6-2686,-0.7885
